NUMERO;Identifiant;T1TypeEtab;T2TypeEtab;T3TypeEtab;T1Strate;T2Strate;T3Strate;T1Classe;T2Classe;T3Classe;DateNaissance;T1DatePassation;T2DatePassation;T3DatePassation;Sexe;T1CSPM;T2CSPM;T3CSPM;CSP.M;T1CSPP;T2CSPP;T3CSPP;CSP.Pere;T1SGE01;T1SGE02;T1SGE03;T1SGE04;T1SGE05;T2SGE01;T2SGE02;T2SGE03;T2SGE04;T2SGE05;T3SGE01;T3SGE02;T3SGE03;T3SGE04;T3SGE05;T1BE01;T1BE02;T1BE03;T1BE04;T1BE05;T1BE06;T1BE08;T1BE09;T1BE10;T1BE11;T1BE12;T1BE13;T1BE14;T1BE15;T1BE16;T1BE17;T1BE18;T1BE19;T1BE20;T1BE21;T1BE22;T1BE23;T1BE24;T1BE25;T1BE26;T1BE28;T1BE29;T1BE30;T2BE01;T2BE02;T2BE03;T2BE04;T2BE05;T2BE06;T2BE08;T2BE09;T2BE10;T2BE11;T2BE12;T2BE13;T2BE14;T2BE15;T2BE16;T2BE17;T2BE18;T2BE19;T2BE20;T2BE21;T2BE22;T2BE23;T2BE24;T2BE25;T2BE26;T2BE28;T2BE29;T2BE30;T3BE1;T3BE2;T3BE3;T3BE4;T3BE5;T3BE6;T3BE7;T3BE8;T3BE9;T3BE10;T3BE11;T3BE12;T3BE13;T3BE14;T3BE15;T3BE16;T3BE17;T3BE18;T3BE19;T3BE20;T3BE21;T3BE22;T3BE23;T3BE24;T3BE25;T3BE26;T3BE27;T3BE28;T3BE29;T3BE30;T1Fr;T1Math;T2Fr;T2Math;T3Fr;T3Math;T2SEPS1;T2SEPS2;T2SEPS3;T2SEPS4;T2SEPS5;T2SEPS6;T2SEPS7;T2SEPS8;T2SEPS9;T2SEPS10;T2SEPS11;T3SEP1;T3SEP2;T3SEP3;T3SEP4;T3SEP5;T3SEP6;T3SEP7;T3SEP8;T3SEP9;T3SEP10;T3SEP11;ProfilT1;ProfilT2;ProfilT1T2
17;1CE2LC17;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-05-17;2014-03-24;2015-03-19;2016-03-20;M;5;5;5;5;6;6;6;6;6;5;6;6;6;5;6;5;6;6;5;6;6;5;5;2;4;4;3;3;1;3;4;3;3;4;2;2;4;2;3;2;4;2;3;2;3;3;4;3;3;4;4;4;3;4;3;3;1;3;4;4;3;4;4;3;4;2;3;3;4;2;4;3;4;1;3;3;2;4;4;3;4;4;2;3;1;4;3;4;2;3;4;4;1;4;2;2;2;4;2;4;2;3;2;3;3;4;2;3;3;3;4;2;3;3;3;5;5;6;6;6;4;5;6;6;5;5;5;6;6;6;6;5;6;6;6;6;6;3;3;3
18;1CE2LC18;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-05-02;2014-03-24;2015-03-19;2016-03-20;M;5;5;5;5;;;;;5;5;5;6;6;6;5;6;6;6;4;6;6;6;4;4;4;3;3;2;3;3;1;2;2;4;4;3;2;2;3;4;3;3;4;1;3;4;4;3;1;4;4;4;4;4;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;4;3;2;4;2;4;3;4;4;4;4;4;4;4;4;2;3;4;4;4;3;4;4;4;5;5;3;5;4;4;5;6;6;5;6;5;6;6;6;6;6;5;6;6;5;6;6;6;6;6;6;6;2;3;3
20;1CE2LC20;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-06-05;2014-03-24;2015-03-19;2016-03-20;M;6;6;6;6;6;6;6;6;4;;;5;6;5;4;5;6;6;6;6;6;6;5;2;3;1;2;3;4;2;4;3;3;2;4;2;4;4;4;1;4;3;3;2;4;3;4;2;;4;3;2;2;4;2;1;3;2;1;3;2;4;3;3;2;2;4;1;2;3;2;2;2;2;2;2;3;4;3;3;4;3;2;4;2;4;2;4;2;4;4;3;2;4;1;2;4;3;1;3;2;4;4;4;4;4;2;4;2;2;3;1;2;4;4;5;4;4;3;4;6;5;4;4;6;5;5;5;5;4;4;5;5;5;5;5;5;3;2;1
21;1CE2LC21;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-11-19;2014-03-24;2015-03-19;2016-03-20;M;5;9;5;9;5;4;4;4;6;1;2;1;6;5;6;2;5;6;6;2;5;4;6;2;2;2;3;3;1;2;4;4;2;3;4;1;4;1;2;2;4;3;4;4;4;1;3;1;1;4;1;4;4;4;1;1;1;1;4;3;1;1;4;1;4;1;1;1;3;1;3;1;1;1;1;1;1;4;1;2;2;4;1;2;1;1;1;4;4;4;4;1;1;4;1;1;1;1;1;4;1;4;1;1;1;4;1;4;1;1;1;1;1;1;1;5;4;6;4;6;6;5;1;3;4;5;5;5;6;1;4;3;5;1;3;2;1;1;2;2
22;1CE2LC22;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-12-26;2014-03-24;2015-03-19;2016-03-20;F;5;5;5;5;5;3;5;3;5;6;3;5;6;5;4;5;4;6;5;5;5;5;6;4;2;4;4;4;4;3;4;2;2;4;2;4;4;1;2;4;4;4;2;1;3;4;2;1;1;4;3;2;1;4;2;4;1;2;4;4;3;4;3;1;4;1;1;2;3;2;4;2;3;1;3;2;2;3;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;2;4;4;4;4;4;4;4;3;4;2;1;1;1;2;1;1;4;4;4;4;3;4;3;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;3;2;2
23;1CE2LC23;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-11-24;2014-03-24;2015-03-19;2016-03-20;F;4;6;4;6;4;4;4;4;6;1;5;2;4;6;6;4;5;2;5;2;3;1;4;1;3;2;1;3;4;2;4;3;2;3;3;3;2;4;1;2;3;1;1;1;2;1;4;1;2;4;4;2;4;4;3;4;3;3;4;3;3;3;3;3;4;3;4;3;4;4;4;3;2;1;3;4;2;3;4;2;2;1;1;2;3;3;2;2;4;2;4;3;3;2;1;2;2;3;3;2;2;2;4;3;2;2;2;2;4;3;3;5;4;5;5;5;5;3;6;6;6;6;4;3;3;6;4;5;2;6;6;6;6;3;2;3;4;1;3;3
24;1CE2LC24;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-01-19;2014-03-24;2015-03-19;2016-03-20;F;5;5;5;5;2;6;6;6;6;6;6;6;4;6;6;6;6;4;6;6;6;6;4;4;4;3;;2;3;4;4;1;2;3;4;3;4;2;3;3;4;4;1;1;4;4;4;4;3;4;4;4;4;4;1;4;4;4;4;4;4;4;3;4;4;2;4;4;3;3;4;3;4;4;3;4;2;4;4;4;4;4;1;4;2;4;4;4;4;4;4;4;3;4;1;4;4;4;1;4;1;4;4;4;4;4;4;3;4;5;5;5;5;5;4;4;3;2;6;6;4;4;5;6;6;5;4;4;5;6;5;5;6;6;6;4;6;3;3;3
25;1CE2LC25;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-05-26;2014-03-24;2015-03-19;2016-03-20;M;4;4;4;4;4;4;4;4;6;5;;5;5;5;5;5;4;4;3;5;6;3;5;3;4;3;2;3;2;3;3;3;3;4;3;3;3;2;4;3;3;3;2;4;4;4;3;3;2;3;4;3;4;3;3;4;2;3;3;4;2;4;3;4;3;3;3;2;2;3;3;2;4;3;3;3;3;3;4;3;4;1;3;4;4;4;4;2;4;1;4;3;4;1;4;4;4;4;3;4;2;3;4;3;3;4;4;3;4;5;5;5;5;5;5;2;5;6;5;6;5;4;6;5;4;6;5;6;5;6;3;6;2;6;5;6;6;3;3;2
26;1CE2LC26;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-12-20;2014-03-24;2015-03-19;2016-03-20;F;4;4;4;4;4;4;4;4;5;6;6;5;6;6;6;6;6;6;6;6;3;6;6;2;4;4;2;4;2;3;4;2;2;3;4;2;4;2;3;1;4;3;4;1;4;2;4;4;2;4;1;4;4;4;3;4;2;4;4;2;4;4;4;4;4;3;1;2;4;4;4;2;4;3;3;4;2;3;3;4;4;4;2;4;2;3;2;4;3;3;3;3;4;4;3;2;4;4;4;4;2;4;4;2;4;4;4;3;3;4;4;5;5;4;4;4;6;6;5;6;6;6;5;6;6;6;5;5;5;5;5;5;5;5;5;5;5;3;3;3
28;1CE2LC28;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-12-11;2014-03-24;2015-03-19;2016-03-20;M;5;5;5;5;3;3;3;3;6;6;6;6;6;5;4;5;4;5;5;5;6;5;5;3;4;4;3;4;4;4;3;4;4;3;3;4;3;3;4;4;1;4;4;4;4;4;4;3;4;4;4;3;3;4;3;3;3;4;2;3;3;4;3;4;4;3;3;3;2;2;3;2;4;2;3;3;3;2;3;4;4;2;4;4;4;4;4;2;3;3;4;4;3;4;4;3;3;4;3;3;3;4;4;4;3;4;4;3;3;5;5;5;4;5;5;5;5;5;6;6;5;5;6;5;5;5;5;6;6;5;5;6;6;6;6;6;6;3;3;2
29;1CE2LC29;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-06-28;2014-03-24;2015-03-19;2016-03-20;M;;3;3;3;;3;3;3;6;6;6;6;6;6;6;6;6;6;4;6;6;6;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;1;4;2;4;4;3;4;2;4;4;4;4;4;3;4;4;2;2;2;4;4;4;4;3;4;2;4;5;5;4;4;4;5;4;6;6;6;6;5;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;3;3;2
30;1CE2LC30;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-08-07;2014-03-24;2015-03-19;2016-03-20;M;;;;;4;4;4;4;4;5;4;6;5;4;4;4;5;5;5;5;5;4;4;3;3;4;3;3;4;3;4;3;3;3;3;2;4;3;3;3;2;2;4;3;3;4;3;3;3;2;3;3;3;4;3;2;1;3;4;4;3;4;3;4;4;3;3;3;4;3;4;2;3;1;3;3;3;3;3;2;3;3;3;3;4;4;4;3;4;2;4;4;3;3;3;2;3;4;2;3;2;2;3;3;4;1;2;2;3;5;5;5;5;5;5;5;4;3;6;6;5;5;5;6;6;5;3;4;4;4;6;5;5;4;5;6;5;3;3;2
33;1CE2AF33;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-01-17;2014-03-31;2015-03-05;2016-03-20;M;3;5;5;5;3;4;4;4;6;5;;6;6;6;5;6;4;6;6;4;6;5;5;3;4;2;2;3;4;2;1;4;3;4;4;3;3;3;4;3;3;3;3;3;3;3;3;2;2;2;3;2;4;3;2;3;3;2;1;4;2;4;3;2;4;4;2;4;4;3;3;2;3;4;3;2;3;4;4;3;3;3;2;4;4;4;2;4;4;3;4;3;2;4;3;3;1;2;3;4;3;4;4;3;2;4;1;2;2;4;4;5;5;5;5;5;6;6;3;6;5;4;6;6;5;6;4;5;5;3;6;5;4;5;6;6;6;2;1;3
34;1CE2AF34;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-03-19;2014-03-31;2015-03-05;2016-03-20;M;5;5;5;5;2;2;2;2;5;6;6;6;6;5;5;5;6;5;6;6;5;6;4;4;4;4;2;2;3;3;3;3;2;4;3;2;2;3;2;3;4;2;4;1;3;1;3;3;2;3;2;3;4;4;2;3;2;3;4;3;3;4;3;2;3;3;2;3;4;2;3;2;3;3;4;3;3;4;3;3;4;3;3;3;2;3;4;4;4;3;4;4;2;3;3;3;2;4;3;4;2;3;2;4;4;3;2;2;2;5;5;5;5;5;5;4;3;3;4;2;5;5;4;3;6;5;5;4;4;4;6;6;5;5;6;5;6;1;3;3
36;1CE2AF36;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-06-12;2014-03-31;2015-03-05;2016-03-20;M;3;3;3;3;3;3;3;3;6;5;5;6;6;6;5;5;6;4;5;4;5;4;4;2;4;3;1;4;4;3;4;3;2;4;2;2;2;3;4;4;2;3;4;3;4;4;3;3;3;4;3;3;4;3;1;4;3;3;4;3;1;4;3;1;4;2;2;4;4;3;3;3;1;4;3;3;2;4;4;3;3;4;1;4;2;4;3;4;4;3;4;3;1;4;3;3;4;3;3;4;2;3;4;3;2;4;1;2;3;5;4;5;5;3;5;5;5;5;5;6;5;5;6;6;6;6;4;6;6;2;4;6;3;5;4;5;4;3;1;1
38;1CE2AF38;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-09-09;2014-03-31;2015-03-05;2016-03-20;F;3;3;3;3;3;3;3;3;5;6;6;6;6;5;6;6;5;6;6;5;6;6;4;1;3;1;1;2;2;1;4;2;2;1;2;2;3;1;1;2;2;1;2;1;3;1;1;4;1;2;1;3;3;4;1;2;1;1;3;2;2;3;3;1;3;3;1;2;3;3;3;1;2;1;1;3;1;2;2;3;4;4;1;4;4;3;2;4;2;2;4;3;3;4;2;4;4;2;2;2;3;3;1;3;4;4;1;1;2;4;4;5;5;5;4;5;5;5;5;4;4;5;5;4;4;6;5;5;4;5;6;5;3;5;6;6;5;1;2;3
39;1CE2AF39;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-05-17;2014-03-31;2015-03-05;2016-03-20;F;4;4;4;4;4;4;4;4;6;5;4;;5;6;5;6;6;6;6;4;4;6;5;2;4;3;3;3;1;2;3;3;4;3;4;2;3;2;3;3;4;2;3;1;4;4;3;4;2;2;3;3;4;2;3;4;2;2;3;2;4;3;4;3;4;2;3;4;4;3;4;3;3;4;3;3;2;4;3;3;3;2;1;4;3;3;3;3;4;3;4;4;3;4;2;4;4;4;3;3;2;4;3;4;3;3;1;4;3;;;5;5;4;5;5;6;6;4;5;5;5;5;6;5;4;4;6;5;6;5;5;5;6;5;6;6;3;3;3
42;1CE2AF42;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2004-10-11;2014-03-31;2015-03-05;2016-03-20;F;5;5;5;5;2;2;;2;6;6;5;6;6;5;6;6;6;6;6;6;6;6;5;1;3;1;1;1;2;1;4;2;2;1;1;2;3;1;1;2;1;1;2;1;3;1;1;2;1;1;1;3;4;1;1;3;1;1;3;2;2;3;1;3;4;3;3;2;1;3;2;1;3;1;1;3;1;3;2;2;3;4;1;4;2;4;3;4;3;4;2;2;3;4;1;2;3;2;2;2;1;4;2;2;4;4;1;3;1;2;2;2;1;1;1;6;6;5;5;5;4;5;5;4;5;5;4;6;5;3;5;4;5;6;6;6;6;1;2;3
43;1CE2AF43;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-02-16;2014-03-31;2015-03-05;2016-03-20;F;3;3;3;3;5;5;5;5;6;4;2;5;6;6;4;3;5;6;6;5;4;5;4;3;4;4;2;4;4;1;3;3;2;4;2;4;4;3;4;4;2;2;1;1;3;4;2;1;4;3;4;3;4;3;2;2;3;3;3;4;3;3;3;2;3;2;2;3;4;2;4;2;3;4;4;3;3;4;3;3;4;4;2;4;3;3;2;4;3;1;3;3;3;4;3;2;3;4;3;4;3;4;3;3;4;3;4;2;3;5;5;5;5;5;5;5;3;4;6;5;5;4;6;3;4;5;5;5;5;6;6;4;6;5;6;5;4;3;3;2
44;1CE2AF44;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-07-07;2014-03-31;2015-03-05;2016-03-20;M;;3;3;3;5;2;3;2;4;3;6;4;3;4;6;6;5;5;3;3;4;3;2;4;2;1;4;4;4;1;1;4;3;4;1;2;1;4;1;4;3;1;4;4;1;4;3;1;4;2;4;4;4;3;3;4;3;4;1;4;2;4;2;4;2;3;4;3;1;4;2;2;2;3;3;3;4;3;2;3;2;2;2;3;4;2;3;2;4;2;4;2;2;3;4;4;4;2;4;3;3;2;3;2;2;3;4;4;3;5;5;5;5;5;5;6;6;6;6;6;6;6;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;2;3;2
46;1CE2AF46;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-06-14;2014-03-31;2015-03-05;2016-03-20;F;5;3;3;3;3;3;3;3;6;6;4;6;3;5;6;5;6;5;5;6;4;6;5;3;1;2;3;3;1;1;2;1;1;4;2;1;2;1;1;2;2;1;3;1;3;1;1;3;1;1;1;3;3;4;2;4;2;3;4;2;2;4;3;2;4;2;4;1;3;2;2;3;4;3;4;3;1;2;3;2;4;2;1;2;2;4;3;1;4;1;4;2;1;4;4;2;4;4;1;1;3;2;4;3;4;2;1;3;3;4;3;5;5;5;4;4;5;5;5;4;5;4;4;5;6;5;4;3;4;6;5;5;4;3;4;2;6;1;2;3
47;1CE2AF47;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-09-11;2014-03-31;2015-03-05;2016-03-20;F;5;4;4;4;3;;;3;4;6;5;6;;6;6;6;6;6;5;4;5;4;5;3;4;3;1;1;2;1;3;2;3;4;4;1;1;2;2;4;4;2;3;2;4;4;3;4;4;2;4;3;4;3;3;4;3;4;2;4;3;4;3;4;4;3;4;4;3;4;4;3;4;4;4;4;4;3;4;3;3;3;3;4;3;3;4;3;4;3;4;3;3;4;3;4;4;2;4;3;4;4;4;4;3;4;3;3;4;5;5;5;5;5;5;5;6;6;5;6;6;6;5;6;6;6;5;5;5;5;5;6;6;6;6;6;6;2;3;3
48;1CE2AF48;ECOLE;ECOLE;ECOLE;1;1;1;1;CM1;CM2;2005-10-27;2014-03-31;2015-03-05;2016-03-20;M;5;3;;3;;3;;3;2;2;4;4;4;5;5;6;4;4;5;4;4;4;5;3;1;4;1;2;2;3;3;1;1;2;1;1;4;4;1;4;4;1;1;1;1;4;2;1;2;2;2;2;1;3;1;3;3;4;3;4;2;4;1;3;4;3;3;3;3;4;1;2;3;4;4;2;2;2;1;3;3;3;2;3;2;3;3;2;3;2;3;3;2;3;3;3;3;3;3;4;3;2;3;3;2;2;3;3;2;1;2;3;3;4;4;4;4;4;4;4;5;4;5;4;5;5;4;2;1;3;4;5;2;4;5;5;5;1;2;3
